"Variable","Kilometres","Empir. Log-Rate","Y_j","t_j","L","U","Bonus","Zone","Make"
"Kilometres","1",-3.191,33186,806801.35,-3.202,-3.18,,,
"Kilometres","2",-3.017,39371,804396.72,-3.027,-3.007,,,
"Kilometres","3",-2.995,23885,477149.38,-3.007,-2.982,,,
"Kilometres","4",-2.954,9025,173150.04,-2.975,-2.934,,,
"Kilometres","5",-2.76,7704,121672.59,-2.782,-2.738,,,
"Bonus",,-2.129,19189,161343.91,-2.143,-2.115,"1",,
"Bonus",,-2.578,10681,140735.54,-2.598,-2.56,"2",,
"Bonus",,-2.767,7742,123216.86,-2.79,-2.745,"3",,
"Bonus",,-2.874,6309,111719.88,-2.899,-2.85,"4",,
"Bonus",,-2.953,7143,136904.2,-2.977,-2.93,"5",,
"Bonus",,-3.004,12582,253832.27,-3.022,-2.987,"6",,
"Bonus",,-3.381,49525,1455417.42,-3.389,-3.372,"7",,
"Zone",,-2.645,23174,326394.1,-2.658,-2.632,,"1",
"Zone",,-2.902,21302,387916.78,-2.916,-2.889,,"2",
"Zone",,-3.07,19938,429331.99,-3.084,-3.056,,"3",
"Zone",,-3.279,31913,847154.83,-3.29,-3.268,,"4",
"Zone",,-3.006,5962,120442.99,-3.031,-2.981,,"5",
"Zone",,-3.204,10262,252845.64,-3.224,-3.185,,"6",
"Zone",,-3.427,620,19083.75,-3.509,-3.351,,"7",
"Make",,-3.026,11622,239573.19,-3.044,-3.008,,,"1"
"Make",,-2.926,2747,51238.28,-2.964,-2.889,,,"2"
"Make",,-3.273,1847,48762.67,-3.32,-3.229,,,"3"
"Make",,-3.472,2065,66485.99,-3.516,-3.43,,,"4"
"Make",,-2.854,3094,53727.14,-2.89,-2.82,,,"5"
"Make",,-3.315,4664,128404.03,-3.344,-3.287,,,"6"
"Make",,-3.112,2180,48999.25,-3.155,-3.071,,,"7"
"Make",,-3.095,1103,24369.82,-3.156,-3.038,,,"8"
"Make",,-3.022,83849,1721609.71,-3.029,-3.015,,,"9"
