Interaction,Category_Var1,Metric,1,2,3,4,5,6,7,2-4,8,9,7-8
Bonus Class vs Zone,1,Empir. Log-Rate,-1.685,-2.023,-2.151,-2.417,-2.155,-2.339,-2.611,,,,
Bonus Class vs Zone,2,Empir. Log-Rate,-2.188,-2.449,-2.641,-2.779,-2.597,-2.767,-2.935,,,,
Bonus Class vs Zone,3,Empir. Log-Rate,-2.354,-2.647,-2.835,-2.972,-2.808,-2.956,-3.168,,,,
Bonus Class vs Zone,4,Empir. Log-Rate,-2.505,-2.751,-2.884,-3.097,-2.885,-3.067,-3.445,,,,
Bonus Class vs Zone,5,Empir. Log-Rate,-2.606,-2.817,-2.984,-3.174,-2.902,-3.139,-3.226,,,,
Bonus Class vs Zone,6,Empir. Log-Rate,-2.638,-2.889,-3.026,-3.225,-2.984,-3.233,-3.458,,,,
Bonus Class vs Zone,7,Empir. Log-Rate,-3.066,-3.236,-3.388,-3.563,-3.304,-3.472,-3.704,,,,
Bonus Class vs Zone,1,Y_j,4805,3689,3332,4660,969,1637,97,,,,
Bonus Class vs Zone,2,Y_j,2339,2026,1825,2922,559,946,64,,,,
Bonus Class vs Zone,3,Y_j,1723,1474,1326,2109,391,678,41,,,,
Bonus Class vs Zone,4,Y_j,1369,1241,1142,1678,326,526,27,,,,
Bonus Class vs Zone,5,Y_j,1504,1432,1278,1905,401,582,41,,,,
Bonus Class vs Zone,6,Y_j,2814,2498,2214,3298,709,992,57,,,,
Bonus Class vs Zone,7,Y_j,8620,8942,8821,15341,2607,4901,293,,,,
Bonus Class vs Zone,1,t_j,25908.04,27884.77,28628.46,52262.5,8357.26,16982.05,1320.83,,,,
Bonus Class vs Zone,2,t_j,20862.02,23457.75,25604.94,47053.64,7503.02,15049.95,1204.22,,,,
Bonus Class vs Zone,3,t_j,18130.03,20797.47,22593.23,41208.02,6480.56,13033.16,974.39,,,,
Bonus Class vs Zone,4,t_j,16758.94,19423.38,20420.36,37133.83,5836.38,11300.46,846.53,,,,
Bonus Class vs Zone,5,t_j,20363.31,23949.91,25269.03,45548.93,7305.42,13434.77,1032.83,,,,
Bonus Class vs Zone,6,t_j,39372.38,44893.23,45637.17,82952.16,14011.07,25156.36,1809.9,,,,
Bonus Class vs Zone,7,t_j,184999.38,227510.27,261178.8,540995.75,70949.28,157888.89,11895.05,,,,
Bonus Class vs Zone,1,L,-1.714,-2.056,-2.185,-2.446,-2.22,-2.389,-2.833,,,,
Bonus Class vs Zone,2,L,-2.23,-2.494,-2.688,-2.816,-2.683,-2.833,-3.216,,,,
Bonus Class vs Zone,3,L,-2.402,-2.699,-2.891,-3.016,-2.912,-3.034,-3.534,,,,
Bonus Class vs Zone,4,L,-2.559,-2.808,-2.943,-3.146,-3,-3.157,-3.919,,,,
Bonus Class vs Zone,5,L,-2.657,-2.87,-3.041,-3.22,-3.005,-3.224,-3.592,,,,
Bonus Class vs Zone,6,L,-2.676,-2.929,-3.068,-3.26,-3.06,-3.297,-3.759,,,,
Bonus Class vs Zone,7,L,-3.088,-3.257,-3.409,-3.579,-3.343,-3.501,-3.825,,,,
Bonus Class vs Zone,1,U,-1.657,-1.991,-2.117,-2.389,-2.094,-2.292,-2.43,,,,
Bonus Class vs Zone,2,U,-2.148,-2.407,-2.596,-2.743,-2.517,-2.705,-2.716,,,,
Bonus Class vs Zone,3,U,-2.307,-2.597,-2.783,-2.931,-2.713,-2.884,-2.901,,,,
Bonus Class vs Zone,4,U,-2.453,-2.696,-2.827,-3.05,-2.782,-2.985,-3.125,,,,
Bonus Class vs Zone,5,U,-2.556,-2.766,-2.931,-3.13,-2.809,-3.061,-2.959,,,,
Bonus Class vs Zone,6,U,-2.602,-2.85,-2.985,-3.191,-2.913,-3.173,-3.227,,,,
Bonus Class vs Zone,7,U,-3.045,-3.216,-3.367,-3.547,-3.266,-3.445,-3.595,,,,
Bonus Class vs Kilometres,1,Empir. Log-Rate,-2.295,-1.983,-1.991,-2.062,-1.827,,,,,,
Bonus Class vs Kilometres,2,Empir. Log-Rate,-2.828,-2.492,-2.42,-2.303,-2.133,,,,,,
Bonus Class vs Kilometres,3,Empir. Log-Rate,-3.044,-2.7,-2.622,-2.575,-2.313,,,,,,
Bonus Class vs Kilometres,4,Empir. Log-Rate,-3.107,-2.851,-2.776,-2.698,-2.47,,,,,,
Bonus Class vs Kilometres,5,Empir. Log-Rate,-3.181,-2.991,-2.829,-2.74,-2.594,,,,,,
Bonus Class vs Kilometres,6,Empir. Log-Rate,-3.235,-3.058,-2.838,-2.888,-2.678,,,,,,
Bonus Class vs Kilometres,7,Empir. Log-Rate,-3.582,-3.408,-3.274,-3.157,-3.005,,,,,,
Bonus Class vs Kilometres,1,Y_j,8315,7496,2301,518,559,,,,,,
