Variable,Category,Rows,Total_Exposure,Total_Claims,Exposure_Share,Claim_Share,Claim_Frequency,Claim_to_Exposure_Ratio,Sparsity_Warning
Kilometres,1,439,806801.35,33186,33.85 %,29.32 %,0.0411,0.87,OK
Kilometres,2,441,804396.72,39371,33.75 %,34.79 %,0.0489,1.03,OK
Kilometres,3,441,477149.38,23885,20.02 %,21.11 %,0.0501,1.05,OK
Kilometres,4,434,173150.04,9025,7.27 %,7.97 %,0.0521,1.1,OK
Kilometres,5,427,121672.59,7704,5.11 %,6.81 %,0.0633,1.33,OK
Bonus,1,307,161343.91,19189,6.77 %,16.96 %,0.1189,2.5,OK
Bonus,2,312,140735.54,10681,5.91 %,9.44 %,0.0759,1.6,OK
Bonus,3,310,123216.86,7742,5.17 %,6.84 %,0.0628,1.32,OK
Bonus,4,310,111719.88,6309,4.69 %,5.57 %,0.0565,1.19,OK
Bonus,5,313,136904.2,7143,5.74 %,6.31 %,0.0522,1.1,OK
Bonus,6,315,253832.27,12582,10.65 %,11.12 %,0.0496,1.04,OK
Bonus,7,315,1455417.42,49525,61.07 %,43.76 %,0.034,0.72,OK
Zone,1,315,326394.1,23174,13.70 %,20.48 %,0.071,1.5,OK
Zone,2,315,387916.78,21302,16.28 %,18.82 %,0.0549,1.16,OK
Zone,3,315,429331.99,19938,18.02 %,17.62 %,0.0464,0.98,OK
Zone,4,315,847154.83,31913,35.55 %,28.20 %,0.0377,0.79,OK
Zone,5,313,120442.99,5962,5.05 %,5.27 %,0.0495,1.04,OK
Zone,6,315,252845.64,10262,10.61 %,9.07 %,0.0406,0.85,OK
Zone,7,294,19083.75,620,0.80 %,0.55 %,0.0325,0.68,Warning: < 1% of total exposure
Make,1,245,239573.19,11622,10.05 %,10.27 %,0.0485,1.02,OK
Make,2,245,51238.28,2747,2.15 %,2.43 %,0.0536,1.13,OK
Make,3,242,48762.67,1847,2.05 %,1.63 %,0.0379,0.8,OK
Make,4,238,66485.99,2065,2.79 %,1.82 %,0.0311,0.65,OK
Make,5,244,53727.14,3094,2.25 %,2.73 %,0.0576,1.21,OK
Make,6,244,128404.03,4664,5.39 %,4.12 %,0.0363,0.76,OK
Make,7,242,48999.25,2180,2.06 %,1.93 %,0.0445,0.94,OK
Make,8,237,24369.82,1103,1.02 %,0.97 %,0.0453,0.95,OK
Make,9,245,1721609.71,83849,72.24 %,74.09 %,0.0487,1.03,OK
